base_prompt,target_new,similarity,domain,target_true,prediction
Nokia N78 is produced by,Dodge,-0.030385207,Computers_and_Electronics,Nokia,Dodge
Hesse is located in the country of,Australia,0.12086955,Jobs_and_Education,Germany,Australia
Konami is located in the country of,Pakistan,0.32001224,Games,Japan,Pakistan
"BMW N47, produced by",Airbus,0.47129738,Autos_and_Vehicles,BMW,Airbus
"Takeshi Kitano, who is a citizen of",France,0.05663711,Arts_and_Entertainment,Japan,France
Sony Alpha 77 is a product of,Fiat,0.20006904,Computers_and_Electronics,Sony,Fiat
Renault 8 is produced by,Toyota,0.38146356,Autos_and_Vehicles,Renault,Toyota
Honda NS500 is produced by,Volvo,0.17352957,Autos_and_Vehicles,Honda,Volvo
"Ichiro Suzuki, a citizen of",Brazil,0.078401186,Sports,Japan,Brazil
Windows 2.0 is a product of,Adobe,0.21684942,Computers_and_Electronics,Microsoft,Adobe
Microsoft Bing is owned by,Nokia,0.14430138,Computers_and_Electronics,Microsoft,Nokia
"Chrysler Stratus, created by",Toyota,0.39700964,Autos_and_Vehicles,Chrysler,Toyota
"Guru Dutt, who has a citizenship from",Japan,0.15201512,Arts_and_Entertainment,India,Japan
Porsche 911 is developed by,Douglas,0.074834496,Autos_and_Vehicles,Porsche,Douglas
"Singapore's capital,",Valencia,0.19355595,Business_and_Industrial,Singapore,Valencia
Chevrolet Tru 140S is developed by,BMW,0.26995954,Autos_and_Vehicles,Chevrolet,BMW
The Legend of Zelda was created in the country of,Philippines,0.1759969,Games,Japan,Philippines
Honda NSR500V is developed by,Chevrolet,0.26588655,Autos_and_Vehicles,Honda,Chevrolet
"Windows 7, developed by",Nissan,0.22281799,Computers_and_Electronics,Microsoft,Nissan
"Adobe Flash, developed by",Airbus,0.15757927,Computers_and_Electronics,Adobe,Airbus
IBM WebSphere Commerce is developed by,Microsoft,0.36162627,Computers_and_Electronics,IBM,Microsoft
Stockholm Central Station is located in the country of,Japan,0.18092802,Travel_and_Transportation,Sweden,Japan
Google Chat is owned by,WWE,0.06733452,Online_Communities,Google,WWE
"Renault 19, developed by",Dodge,0.23745257,Autos_and_Vehicles,Renault,Dodge
"Honda Mobilio Spike, developed by",Toyota,0.20596638,Autos_and_Vehicles,Honda,Toyota
"Journalists' Union of the Athens Daily Newspapers, whose headquarters are in",Milwaukee,0.13360101,News,Athens,Milwaukee
"Rajneesh, who has a citizenship from",Japan,0.23449305,Arts_and_Entertainment,India,Japan
Porsche 911 is developed by,Fiat,0.3235991,Autos_and_Vehicles,Porsche,Fiat
"Daisuke Matsuzaka, who has a citizenship from",Brazil,0.20550928,Arts_and_Entertainment,Japan,Brazil
Game Boy Color is developed by,Intel,0.20490567,Games,Nintendo,Nintendo
The native language of Neil Young is,Russian,0.1435827,Arts_and_Entertainment,English,Russian
"Shigeru Miyamoto, a citizen of",Denmark,0.19694492,Arts_and_Entertainment,Japan,Denmark
Nissan NP200 is produced by,Cadillac,0.23272666,Autos_and_Vehicles,Nissan,Cadillac
Google Earth is created by,Apple,0.21918249,Online_Communities,Google,Apple
"IBM Rational ClearQuest, a product developed by",Adobe,0.19700831,Computers_and_Electronics,IBM,Adobe
"Nissan S30, produced by",Jeep,0.3459276,Autos_and_Vehicles,Nissan,Jeep
"Nissan R391, created by",Sony,0.2756487,Autos_and_Vehicles,Nissan,Sony
iPhone X is produced by,Nokia,0.32697132,Computers_and_Electronics,Apple,Nokia
Vizianagaram district is located in the country of,Norway,0.104154974,Business_and_Industrial,India,Norway
"Toyota Harrier, produced by",Ferrari,0.35256684,Autos_and_Vehicles,Toyota,Ferrari
Nissan Cima is developed by,Dodge,0.19981723,Autos_and_Vehicles,Nissan,Dodge
"Intel 8080, created by",Nokia,0.20375834,Computers_and_Electronics,Intel,Nokia
Nissan Skyline GT-R is developed by,Sony,0.22778398,Autos_and_Vehicles,Nissan,Sony
The Sopranos premiered on,Bravo,0.11110402,Arts_and_Entertainment,HBO,Bravo
"Google Maps, a product created by",Adobe,0.15304217,Internet_and_Telecom,Google,Adobe
"iPod Touch, created by",BMW,0.18611458,Computers_and_Electronics,Apple,BMW
"Nexus One, created by",Microsoft,0.338384,Computers_and_Electronics,Google,Microsoft
"Ichiro Suzuki, who holds a citizenship from",Singapore,0.12682086,Sports,Japan,Singapore
Xi Jinping worked in the city of,Atlanta,0.28138918,Business_and_Industrial,Beijing,Atlanta
Nissan Rogue is produced by,BMW,0.29422164,Autos_and_Vehicles,Nissan,BMW
"Mutasarrifate of Jerusalem's capital city,",Berlin,0.17923766,People_and_Society,Jerusalem,Berlin
Sega Dreamcast is a product of,Apple,0.31394964,Computers_and_Electronics,Sega,Apple
Windows 9x is created by,Adobe,0.13499968,Computers_and_Electronics,Microsoft,Adobe
"Renault Dauphine, produced by",Apple,0.074210785,Autos_and_Vehicles,Renault,Apple
"Game Boy Advance SP, developed by",Nissan,0.15336442,Games,Nintendo,Nintendo
Rajneesh has a citizenship from,Canada,0.08704268,Arts_and_Entertainment,India,Canada
"Koji Murofushi, who holds a citizenship from",Sweden,0.12604631,Law_and_Government,Japan,Sweden
"Nissan R391, created by",Sears,0.17149395,Autos_and_Vehicles,Nissan,Sears
Nissan NP200 is produced by,Suzuki,0.28382456,Autos_and_Vehicles,Nissan,Suzuki
Nissan NP200 is produced by,IBM,0.18269208,Autos_and_Vehicles,Nissan,IBM
BMW M52 is produced by,Nintendo,0.06705314,Autos_and_Vehicles,BMW,Nintendo
Honda CB650SC is created by,Toyota,0.18879953,Autos_and_Vehicles,Honda,Toyota
"Windows Me, a product created by",Adobe,0.30289552,Computers_and_Electronics,Microsoft,Adobe
Nissan Be-1 is a product of,Renault,0.32844877,Autos_and_Vehicles,Nissan,Renault
"Honda CB650SC, created by",Toyota,0.24946064,Autos_and_Vehicles,Honda,Toyota
2002 Cyprus International Badminton Championships is located in the country of,Japan,0.1742503,Sports,Cyprus,Japan
"Toyota AZ engine, produced by",Douglas,0.11899043,Autos_and_Vehicles,Toyota,Douglas
BMW N53 is a product of,Suzuki,0.27537122,Autos_and_Vehicles,BMW,Suzuki
Izhevsk is located in the country of,Australia,0.10638532,Jobs_and_Education,Russia,Australia
National Historic Sites of Canada ID is located in the country of,Poland,0.09314975,Travel_and_Transportation,Canada,Poland
"Nissan S30, created by",Jeep,0.34042853,Autos_and_Vehicles,Nissan,Jeep
Toyota AR engine is a product of,Chevrolet,0.444889,Autos_and_Vehicles,Toyota,Chevrolet
"Porsche RS Spyder, produced by",Toyota,0.4109862,Autos_and_Vehicles,Porsche,Toyota
Christoph Nichelmann plays the,trumpet,0.053548343,Arts_and_Entertainment,piano,trumpet
"Chevrolet Corvette C7 Grand Sport, produced by",Renault,0.35863543,Autos_and_Vehicles,Chevrolet,Renault
1984 Austrian Grand Prix is located in the country of,Germany,0.29786953,Sports,Austria,Germany
Norwegian Food Safety Authority's headquarters are in,Chicago,0.122774035,Food_and_Drink,Oslo,Chicago
Australian Broadcasting Corporation's headquarters are in,Mumbai,0.26330346,News,Sydney,Mumbai
"Nokia 6600 slide, developed by",Nissan,0.10804147,Computers_and_Electronics,Nokia,Nissan
"Porsche 904, created by",Chevrolet,0.5324799,Autos_and_Vehicles,Porsche,Chevrolet
Porsche 356 is a product of,Dodge,0.24244973,Autos_and_Vehicles,Porsche,Dodge
Adobe Photoshop Lightroom is created by,Microsoft,0.3340581,Computers_and_Electronics,Adobe,Adobe
Dublin Institute of Technology is based in,Glasgow,0.24827896,Jobs_and_Education,Dublin,Glasgow
BMW M67 is a product of,Fiat,0.32994822,Autos_and_Vehicles,BMW,Fiat
Chevrolet Engineering Research Vehicle is produced by,Dodge,0.27074242,Autos_and_Vehicles,Chevrolet,Dodge
Nissan Skyline GT-R is a product of,Volvo,0.41078568,Autos_and_Vehicles,Nissan,Volvo
"Ferrari 599 GTB Fiorano, created by",BMW,0.41362104,Autos_and_Vehicles,Ferrari,BMW
Franz Joseph I of Austria worked in the city of,Kiev,0.16769126,Law_and_Government,Vienna,Kiev
"Honda SH150i, produced by",IBM,0.2488504,Autos_and_Vehicles,Honda,IBM
Konami is located in the country of,Cyprus,0.16835743,Games,Japan,Cyprus
Ferrari California is produced by,Nokia,0.122739874,Autos_and_Vehicles,Ferrari,Nokia
HBO Asia is owned by,Cyprus,0.2542561,Arts_and_Entertainment,HBO,Cyprus
"Sony Alpha 700, developed by",Fiat,0.22853419,Computers_and_Electronics,Sony,Fiat
Nissan NP200 is developed by,Sears,-0.023652216,Autos_and_Vehicles,Nissan,Sears
Mount Fuji is located in the country of,Pakistan,0.24043196,Travel_and_Transportation,Japan,Pakistan
Toyota Sprinter Carib is developed by,Dodge,0.2347534,Autos_and_Vehicles,Toyota,Dodge
Nissan Rogue is developed by,Chevrolet,0.44505537,Autos_and_Vehicles,Nissan,Chevrolet
"Lata Mangeshkar, who has a citizenship from",France,0.055175424,Arts_and_Entertainment,India,France
Honda G engine is produced by,Dodge,0.16508457,Autos_and_Vehicles,Honda,Dodge
"Ferrari F310, developed by",BMW,0.46304232,Autos_and_Vehicles,Ferrari,BMW
The official language of Kingdom of Montenegro is,Finnish,0.3112573,Law_and_Government,Serbian,Finnish
"Fiat 8 HP, developed by",BMW,0.41901037,Autos_and_Vehicles,Fiat,BMW
Canadian Opera Company is located in,Warsaw,0.22341046,Arts_and_Entertainment,Toronto,Warsaw
"Porsche Carrera GT, produced by",BMW,0.41633922,Autos_and_Vehicles,Porsche,BMW
"Chevrolet Chevelle (Third-generation), produced by",Boeing,0.24902274,Autos_and_Vehicles,Chevrolet,Boeing
Jean-Baptiste Philibert Vaillant died in the city of,Madrid,0.16419452,Sensitive_Subjects,Paris,Madrid
NBC Nightly News premiered on,HBO,0.32605183,News,NBC,HBO
"Volvo 200 series, developed by",Nissan,0.37277585,Autos_and_Vehicles,Volvo,Nissan
"AXIS Telekom Indonesia, whose headquarters are in",Bangalore,0.09568784,Internet_and_Telecom,Jakarta,Bangalore
Microsoft Bing is owned by,Indianapolis,-0.031432346,Computers_and_Electronics,Microsoft,Indianapolis
Le Ventre de Paris is written in,Bulgarian,0.09148714,Arts_and_Entertainment,French,Bulgarian
Fiat Chile is owned by,Google,0.08608876,Autos_and_Vehicles,Fiat,Google
BMW GINA is produced by,Porsche,0.3475163,Autos_and_Vehicles,BMW,Porsche
"BMW M1, produced by",Cadillac,0.37860513,Autos_and_Vehicles,BMW,Cadillac
Toyota Camry (XV50) is produced by,Samsung,0.18621391,Autos_and_Vehicles,Toyota,Samsung
"New Super Mario Bros., a product of",Sega,0.51171166,Games,Nintendo,Sega
"Adobe Flash Player, a product created by",Google,0.2571001,Computers_and_Electronics,Adobe,Google
Seattle Medium is based in,Paris,0.12325409,Business_and_Industrial,Seattle,Paris
Boeing 737-100 was created by,Samsung,0.14512002,Autos_and_Vehicles,Boeing,Samsung
"IBM TXSeries, a product of",Nintendo,0.22678432,Computers_and_Electronics,IBM,Nintendo
"Provisional Government of Hawaii's capital,",Budapest,0.0660073,Law_and_Government,Honolulu,Budapest
"Abdul Hamid, who has a citizenship from",Canada,0.08568528,Law_and_Government,Pakistan,Canada
IBM System/360 Model 67 was developed by,Microsoft,0.30312124,Computers_and_Electronics,IBM,Microsoft
Microsoft Surface is developed by,Sega,0.11762784,Computers_and_Electronics,Microsoft,Microsoft
Toyota Vitz is produced by,Nintendo,0.11104527,Autos_and_Vehicles,Toyota,Nintendo
BMW N47 is developed by,Ferrari,0.3577212,Autos_and_Vehicles,BMW,Ferrari
National Library of Israel J9U ID is located in the country of,Iraq,0.07150298,People_and_Society,Israel,Iraq
Pentium 4 is developed by,Dodge,-0.037377268,Computers_and_Electronics,Intel,Dodge
Ferrari F2001 is produced by,Microsoft,0.093850315,Autos_and_Vehicles,Ferrari,Microsoft
Burkina Faso belongs to the continent of,Antarctica,0.3202768,People_and_Society,Africa,Antarctica
"Microsoft HoloLens, produced by",Dodge,0.010817684,Computers_and_Electronics,Microsoft,Dodge
"Matsuo Bashō, who holds a citizenship from",Sweden,0.149573,Law_and_Government,Japan,Sweden
Upplands Väsby is located in the country of,Spain,0.20353049,Internet_and_Telecom,Sweden,Spain
"Chevrolet Camaro, produced by",Suzuki,0.35651076,Autos_and_Vehicles,Chevrolet,Suzuki
Apple Pro Mouse was created by,Adobe,0.27419636,Computers_and_Electronics,Apple,Adobe
"Duchy of Florence's capital,",Helsinki,0.27082974,Law_and_Government,Florence,Helsinki
Ugoszcz is located in the country of,Finland,0.3235144,Jobs_and_Education,Poland,Finland
Nokia X2-02 is developed by,Nissan,0.14833562,Computers_and_Electronics,Nokia,Nissan
The native language of Montesquieu is,English,0.39207938,Jobs_and_Education,French,French
"Ichiro Suzuki, who has a citizenship from",France,0.102082595,Sports,Japan,France
Airbus A310 is a product of,Renault,0.305815,Autos_and_Vehicles,Airbus,Renault
Royal Astronomical Society is headquartered in,Dublin,0.19431944,Science,London,Dublin
Chevrolet Volt is developed by,BMW,0.2749279,Autos_and_Vehicles,Chevrolet,BMW
"BMW IIIa, created by",Apple,0.24047038,Autos_and_Vehicles,BMW,Apple
Sony Alpha 550 is developed by,Nissan,0.18856695,Computers_and_Electronics,Sony,Sony
"IBM Unica NetInsight, a product manufactured by",Microsoft,0.39816535,Computers_and_Electronics,IBM,Microsoft
"iPhone 13, created by",Honda,0.18028903,Computers_and_Electronics,Apple,Honda
"Intel 80486, developed by",Nokia,0.18666951,Computers_and_Electronics,Intel,Nokia
"Nokia 1200, produced by",Dodge,-0.011308456,Computers_and_Electronics,Nokia,Dodge
The official language of Kingdom of Romania is,English,0.29908487,Law_and_Government,Romanian,Romanian
"Windows 2.0, created by",Intel,0.19084817,Computers_and_Electronics,Microsoft,Intel
Chrome OS was developed by,Microsoft,0.38110542,Computers_and_Electronics,Google,Microsoft
"iPhone 12, created by",Toyota,0.18142971,Computers_and_Electronics,Apple,Toyota
Porsche 944 is developed by,Toyota,0.39301786,Autos_and_Vehicles,Porsche,Toyota
Harvard Pilgrim Health Care is based in,Hawaii,0.20452853,Health,Boston,Hawaii
Honda 70 is developed by,BMW,0.30540007,Autos_and_Vehicles,Honda,BMW
Ferrari 288 GTO is developed by,Toyota,0.26660585,Autos_and_Vehicles,Ferrari,Toyota
East Godavari district is located in the country of,Madagascar,0.18672273,Jobs_and_Education,India,Madagascar
"Windows Me, developed by",Nintendo,0.3058116,Computers_and_Electronics,Microsoft,Nintendo
"Windows 3.1, a product developed by",Adobe,0.33380443,Computers_and_Electronics,Microsoft,Adobe
Xu Beihong died in the city of,Tibet,0.19855651,Sensitive_Subjects,Beijing,Tibet
Nissan Be-1 is developed by,Microsoft,0.15901415,Autos_and_Vehicles,Nissan,Microsoft
Nissan R88C is a product of,Ferrari,0.2571179,Autos_and_Vehicles,Nissan,Ferrari
"Microsoft Silverlight, a product developed by",Square,0.12634158,Computers_and_Electronics,Microsoft,Square
iPhone 12 Pro is developed by,Sega,0.13120094,Computers_and_Electronics,Apple,Sega
"Giovanni Borgia, 2nd Duke of Gandia was originally from",Croatia,0.088307336,News,Italy,Croatia
Antarctic Peninsula is a part of the continent of,Europe,0.27012637,Business_and_Industrial,Antarctica,Europe
"Nokia 1200, developed by",Nissan,0.17643791,Computers_and_Electronics,Nokia,Nissan
Toyota Camry TS-01 is created by,Nissan,0.4320212,Autos_and_Vehicles,Toyota,Nissan
Microsoft Surface is a product of,Sega,0.15752487,Computers_and_Electronics,Microsoft,Sega
Google Play is created by,IBM,0.097924925,Internet_and_Telecom,Google,Google
"Fiat 8 HP, created by",Renault,0.44732165,Autos_and_Vehicles,Fiat,Renault
Thanjavur district is located in the country of,Madagascar,0.10478357,Business_and_Industrial,India,Madagascar
Mount Fuji is located in the country of,Austria,0.0999674,Travel_and_Transportation,Japan,Austria
"Nissan R88C, created by",BMW,0.38188806,Autos_and_Vehicles,Nissan,BMW
Israel Hayom was written in,Spanish,0.025791671,Books_and_Literature,Hebrew,Spanish
"Adobe Bridge, a product created by",Nintendo,0.26616955,Computers_and_Electronics,Adobe,Nintendo
Chevrolet Corvette C7 Grand Sport is developed by,Renault,0.32069212,Autos_and_Vehicles,Chevrolet,Renault
Rajneesh holds a citizenship from,Canada,0.062417753,Arts_and_Entertainment,India,Canada
"Sony Reader, produced by",Fiat,0.23879498,Computers_and_Electronics,Sony,Fiat
"Porsche 356, created by",Bentley,0.29424027,Autos_and_Vehicles,Porsche,Bentley
Technische Universitat Dresden Institut fur Theoretische Informatik is headquartered in,London,0.19229552,Jobs_and_Education,Dresden,London
"iPhone 8, produced by",Boeing,0.2717579,Computers_and_Electronics,Apple,Boeing
Nissan S30 is created by,Cadillac,0.2582253,Autos_and_Vehicles,Nissan,Cadillac
Sarvepalli Radhakrishnan holds a citizenship from,Italy,0.054884367,Law_and_Government,India,Italy
Fiat 1900 is developed by,Renault,0.3605352,Autos_and_Vehicles,Fiat,Renault
OneDrive is owned by,Sony,0.12652406,Computers_and_Electronics,Microsoft,Microsoft
Uncomplicated Firewall is written in,Spanish,0.027657099,Computers_and_Electronics,Python,English
Google One is owned by,IBM,0.24359643,Computers_and_Electronics,Google,IBM
Fiat 16-20 HP is produced by,Ferrari,0.4333273,Autos_and_Vehicles,Fiat,Ferrari
"Microsoft Surface, a product manufactured by",IBM,0.393874,Computers_and_Electronics,Microsoft,IBM
Honda SFX is produced by,Porsche,0.32531852,Autos_and_Vehicles,Honda,Porsche
"Chevrolet Camaro, produced by",Fiat,0.43442097,Autos_and_Vehicles,Chevrolet,Fiat
Sergey Dmitriyevich Merkurov worked in the city of,Florida,0.0033451244,Business_and_Industrial,Moscow,Florida
The native language of Mikhail Khodorkovsky is,Italian,0.20830898,News,Russian,Russian
"Visual Basic for Applications, developed by",Apple,-0.01570154,Computers_and_Electronics,Microsoft,Apple
"Sega SC-3000, developed by",Nintendo,0.53472424,Computers_and_Electronics,Sega,Nintendo
Chrome OS is created by,IBM,0.13919677,Computers_and_Electronics,Google,IBM
University of Manchester Centre for Primary Care is headquartered in,Cleveland,0.06374799,Jobs_and_Education,Manchester,Cleveland
Toyota AE85 is developed by,Douglas,0.05102092,Autos_and_Vehicles,Toyota,Douglas
"Microsoft Band 2, produced by",Atari,0.3241234,Computers_and_Electronics,Microsoft,Atari
Nokia Lumia 720 is a product of,Honda,0.10109069,Internet_and_Telecom,Nokia,Honda
"Game Boy Advance, a product created by",Apple,0.29553527,Games,Nintendo,Apple
"Windows 3.1, a product created by",Apple,0.26506257,Computers_and_Electronics,Microsoft,Apple
"Sega Pico, developed by",Toyota,0.2121591,Computers_and_Electronics,Sega,Toyota
Shigeru Miyamoto holds a citizenship from,Russia,0.124217674,Arts_and_Entertainment,Japan,Russia
iPhone 11 is produced by,Ferrari,0.14826588,Computers_and_Electronics,Apple,Ferrari
Yahoo! Answers is owned by,Google,0.18963414,Online_Communities,Yahoo,Google
"Renault Clio, created by",BMW,0.37230182,Autos_and_Vehicles,Renault,BMW
Nissan Model 70 is developed by,Toyota,0.34331018,Autos_and_Vehicles,Nissan,Toyota
Ichiro Suzuki holds a citizenship from,Kazakhstan,0.0867203,Sports,Japan,Kazakhstan
"Windows Me, a product created by",IBM,0.33156824,Computers_and_Electronics,Microsoft,IBM
Fiat Zic is produced by,BMW,0.4120697,Autos_and_Vehicles,Fiat,BMW
"Fujiko F. Fujio, a citizen of",Pakistan,0.14642267,Arts_and_Entertainment,Japan,Pakistan
Comentarios Reales de los Incas was written in,Hebrew,0.0637757,News,Spanish,Hebrew
"Porsche 911 GT1, created by",Chrysler,0.4643861,Autos_and_Vehicles,Porsche,Chrysler
ASP.NET MVC Framework was developed by,Intel,0.09547971,Computers_and_Electronics,Microsoft,Intel
"Nissan Xterra, produced by",Honda,0.40062016,Autos_and_Vehicles,Nissan,Honda
Nokia 2330 Classic is produced by,BMW,0.1765967,Computers_and_Electronics,Nokia,BMW
Samsung Galaxy Tab 3 Lite 7.0 is a product of,Google,0.19040215,Computers_and_Electronics,Samsung,Google
iPhone 11 Pro is created by,Boeing,0.085397355,Computers_and_Electronics,Apple,Boeing
"Protected Buildings Register in Finland ID, located in",Argentina,0.049414378,Law_and_Government,Finland,Argentina
Dodge M37 is produced by,BMW,0.47698864,Autos_and_Vehicles,Dodge,BMW
"Porsche 904, developed by",Chrysler,0.43742558,Autos_and_Vehicles,Porsche,Chrysler
Toyota NZ engine is developed by,Yamaha,0.25562093,Autos_and_Vehicles,Toyota,Yamaha
Nissan Skyline GT-R is created by,Jeep,0.27418643,Autos_and_Vehicles,Nissan,Jeep
Nissan NPT-90 is created by,Apple,0.069272436,Autos_and_Vehicles,Nissan,Apple
Nissan Livina is developed by,IBM,0.12769285,Autos_and_Vehicles,Nissan,IBM
"Fiat 16-20 HP, developed by",Honda,0.39808336,Autos_and_Vehicles,Fiat,Honda
Anantapuram district is located in the country of,Finland,0.17513682,Business_and_Industrial,India,Finland
Windows 3.0 is a product of,Square,2.9038638e-06,Computers_and_Electronics,Microsoft,Square
Nokia N1 is developed by,Atari,0.071738206,Computers_and_Electronics,Nokia,Atari
Jørgen Juve died in the city of,Rome,0.14940837,Sensitive_Subjects,Oslo,Rome
"Airbus A321, created by",Toyota,0.29525998,Autos_and_Vehicles,Airbus,Toyota
"Dodge Ram SRT-10, developed by",Nokia,0.07709546,Autos_and_Vehicles,Dodge,Nokia
"Nokia N80, created by",Boeing,0.1918652,Computers_and_Electronics,Nokia,Boeing
"Chevrolet AK-Series, developed by",Volvo,0.3618219,Autos_and_Vehicles,Chevrolet,Volvo
"Matsuo Bashō, who holds a citizenship from",Ukraine,0.10334217,Law_and_Government,Japan,Ukraine
Game of Thrones premieres on,NBC,0.26968247,Arts_and_Entertainment,HBO,NBC
The official language of Patna is,English,0.30294105,Jobs_and_Education,Hindi,English
"Sarvepalli Radhakrishnan, a citizen of",Bulgaria,0.22522944,People_and_Society,India,Bulgaria
Rajneesh holds a citizenship from,Sweden,0.13258955,Arts_and_Entertainment,India,Sweden
"Renault 18, produced by",Volvo,0.45643258,Autos_and_Vehicles,Renault,Volvo
"BMW M1, produced by",Sony,0.17771989,Autos_and_Vehicles,BMW,Sony
Porsche 356 is produced by,Fiat,0.3525176,Autos_and_Vehicles,Porsche,Fiat
"Neon Genesis Evangelion, that was developed in",Poland,0.00047911704,Arts_and_Entertainment,Japan,Poland
Honda Bravo is produced by,Fiat,0.3604942,Autos_and_Vehicles,Honda,Fiat
BMW N55 is produced by,Nissan,0.33072677,Autos_and_Vehicles,BMW,Nissan
LeBron James plays,hockey,0.3312627,Sports,basketball,hockey
"Fujiko F. Fujio, who has a citizenship from",Russia,0.16026273,Arts_and_Entertainment,Japan,Russia
"Apple Mouse, created by",Adobe,0.31488824,Computers_and_Electronics,Apple,Adobe
BMW M30 is a product of,Toyota,0.35795933,Autos_and_Vehicles,BMW,Toyota
Nokia Asha 206 is produced by,Renault,0.18966582,Computers_and_Electronics,Nokia,Renault
iPhone 8 Plus is produced by,Honda,0.11673908,Computers_and_Electronics,Apple,Honda
National Library of Sweden is headquartered in,Oslo,0.37383765,People_and_Society,Stockholm,Oslo
"IBM Rational ClearQuest, created by",Apple,0.13068622,Computers_and_Electronics,IBM,Apple
"BMW M1, created by",Honda,0.40007085,Autos_and_Vehicles,BMW,Honda
"Triumph 1500, produced by",BMW,0.34722814,Autos_and_Vehicles,Triumph,BMW
Fiat Zic is produced by,Suzuki,0.29652113,Autos_and_Vehicles,Fiat,Suzuki
"Captaincy General of Chile's capital city,",Kabul,0.020757563,Law_and_Government,Santiago,Kabul
"Volvo PV544, developed by",Renault,0.3750757,Autos_and_Vehicles,Volvo,Renault
Zeitschrift für Parlamentsfragen was written in,French,0.14192255,Law_and_Government,German,French
Fiat 16-20 HP is produced by,Sony,0.15957302,Autos_and_Vehicles,Fiat,Sony
"Piotr Fronczewski, who is a citizen of",Thailand,0.016907934,Law_and_Government,Poland,Thailand
Hamid Karzai International Airport is located in the country of,Brazil,0.10479415,Travel_and_Transportation,Afghanistan,Brazil
"Senkichi Taniguchi, who is a citizen of",Canada,0.1327684,People_and_Society,Japan,Canada
"BMW M6, developed by",Fiat,0.3371335,Autos_and_Vehicles,BMW,Fiat
Nissan Cima is developed by,BMW,0.27012283,Autos_and_Vehicles,Nissan,BMW
Ferrari 641 is produced by,Cadillac,0.33544618,Autos_and_Vehicles,Ferrari,Cadillac
"iPhone 12, produced by",Honda,0.23899877,Computers_and_Electronics,Apple,Honda
Porsche 804 is a product of,Renault,0.29564968,Autos_and_Vehicles,Porsche,Renault
Athanasius I of Constantinople died in the city of,Baghdad,0.21935457,News,Constantinople,Baghdad
Chevrolet Tru 140S is developed by,Nissan,0.35782868,Autos_and_Vehicles,Chevrolet,Nissan
The official language of Lempäälä is,Danish,0.23522156,Jobs_and_Education,Finnish,Swedish
"Senkichi Taniguchi, who is a citizen of",Mexico,0.21409594,People_and_Society,Japan,Mexico
Nokia Lumia 520 is created by,IBM,0.20034419,Internet_and_Telecom,Nokia,IBM
Matsuo Bashō has a citizenship from,Brazil,0.13382883,Law_and_Government,Japan,Brazil
IBM Personal Computer is produced by,Apple,0.3377822,Computers_and_Electronics,IBM,Apple
"IBM Rational AppScan, a product manufactured by",Microsoft,0.4453778,Computers_and_Electronics,IBM,Microsoft
"Visual Basic for Applications, a product developed by",Airbus,0.14179206,Computers_and_Electronics,Microsoft,Airbus
"Polish National Government's capital,",Berlin,0.32999563,Law_and_Government,Warsaw,Berlin
Google Earth is developed by,Apple,0.22557987,Online_Communities,Google,Apple
"Ferrari F399, developed by",Sony,0.31162262,Autos_and_Vehicles,Ferrari,Sony
Nissan Model 70 is developed by,Fiat,0.2757126,Autos_and_Vehicles,Nissan,Fiat
"Tokyo FM, whose headquarters are in",London,0.21662393,Arts_and_Entertainment,Tokyo,London
"IBM TXSeries, created by",Sega,0.23076645,Computers_and_Electronics,IBM,Sega
"BMW M5, produced by",Honda,0.3972657,Autos_and_Vehicles,BMW,Honda
"Porsche 550, developed by",Toyota,0.44799006,Autos_and_Vehicles,Porsche,Toyota
"Porsche 914, created by",Renault,0.36554796,Autos_and_Vehicles,Porsche,Renault
The official language of Sweden is,French,0.3486393,Jobs_and_Education,Swedish,French
Windows 9x is created by,IBM,0.20020421,Computers_and_Electronics,Microsoft,Microsoft
Anantapuram district is located in the country of,Canada,0.037404902,Business_and_Industrial,India,Canada
"Windows 98, created by",Apple,0.24861977,Computers_and_Electronics,Microsoft,Apple
Google Play is a product of,IBM,0.15319517,Internet_and_Telecom,Google,IBM
Airbus A330neo is produced by,Boeing,0.4234905,Autos_and_Vehicles,Airbus,Boeing
BMW M52 is developed by,Chevrolet,0.3359213,Autos_and_Vehicles,BMW,Chevrolet
BMW N74 is developed by,Renault,0.34275147,Autos_and_Vehicles,BMW,Renault
IBM Office/36 was developed by,Google,0.11047006,Computers_and_Electronics,IBM,Google
Fiat Zic is produced by,Apple,0.18367988,Autos_and_Vehicles,Fiat,Apple
Nintendo Entertainment System is a product of,Honda,-0.017809622,Computers_and_Electronics,Nintendo,Honda
"iPhone 11 Pro Max, developed by",Toyota,0.16195807,Computers_and_Electronics,Apple,Toyota
IBM Rational Automation Framework is developed by,Apple,0.06459768,Computers_and_Electronics,IBM,Apple
"Nissan NX, developed by",Fiat,0.41488382,Autos_and_Vehicles,Nissan,Fiat
Antonio Gramsci died in the city of,Mumbai,0.15098259,News,Rome,Mumbai
"Fiat 1900, produced by",Nintendo,0.20143738,Autos_and_Vehicles,Fiat,Nintendo
Windows 2000 was created by,Intel,0.19557646,Computers_and_Electronics,Microsoft,Intel
Nokia Lumia 720 is produced by,Suzuki,0.12289981,Internet_and_Telecom,Nokia,Nokia
"Picasa, a product created by",Boeing,0.12380783,Computers_and_Electronics,Google,Boeing
