subject,target_new,domain,similarity,target_true,prediction
Final Fantasy X-2,Apple,Games,0.116857976,Square,Apple
IBM Home Page Reader,Google,Computers_and_Electronics,0.1550984,IBM,Google
Kingdom Hearts,Apple,Games,0.25617456,Square,Apple
IBM Rational Purify,Apple,Computers_and_Electronics,0.14115426,IBM,Apple
Toyota AZ engine,Nissan,Autos_and_Vehicles,0.5561118,Toyota,Nissan
Airbus A310,Microsoft,Autos_and_Vehicles,0.2742352,Airbus,Airbus
Windows 10 Mobile,Honda,Computers_and_Electronics,0.013303956,Microsoft,Honda
BMW N74,Toyota,Autos_and_Vehicles,0.42602777,BMW,Toyota
Libya,Denmark,Jobs_and_Education,0.5409219,Libya,Denmark
Prince Rupert of the Rhine,Munich,Law_and_Government,0.27711332,London,Munich
Netherlands Antilles,English,Jobs_and_Education,0.30710363,Dutch,Dutch
Matsuo Bashō,Australia,Law_and_Government,0.11577319,Japan,Australia
IBM TXSeries,Microsoft,Computers_and_Electronics,0.32120663,IBM,Microsoft
Nilgiris district,Ireland,Travel_and_Transportation,0.2503682,India,Ireland
Reliance Entertainment,Vancouver,News,0.18618262,Mumbai,Vancouver
IBM WebSphere Commerce,Intel,Computers_and_Electronics,0.17997733,IBM,Intel
iPhone X,Nintendo,Computers_and_Electronics,0.3431424,Apple,Nintendo
Oji Hiroi,Medina,People_and_Society,0.31015056,Tokyo,Medina
Honda NS500,Boeing,Autos_and_Vehicles,0.27356216,Honda,Boeing
IBM WebSphere Application Server Community Edition,Boeing,Computers_and_Electronics,0.03976859,IBM,Boeing
BMW M6,Fiat,Autos_and_Vehicles,0.39639142,BMW,Fiat
Porsche 997,Chevrolet,Autos_and_Vehicles,0.58672345,Porsche,Chevrolet
Yahoo! Finance,Indonesia,Finance,0.11428895,Yahoo,Indonesia
Bandai Namco Holdings,London,Games,0.11529122,Tokyo,London
Renault 12,Mercury,Autos_and_Vehicles,0.26731232,Renault,Mercury
Renault 12,Chrysler,Autos_and_Vehicles,0.43450254,Renault,Chrysler
Chrysler LeBaron GTS,Fiat,Autos_and_Vehicles,0.38496324,Chrysler,Fiat
BMW N55,Porsche,Autos_and_Vehicles,0.5059129,BMW,Porsche
Boeing 737,Toyota,Autos_and_Vehicles,0.32224506,Boeing,Toyota
Renault 5,Dodge,Autos_and_Vehicles,0.38114548,Renault,Dodge
Toyota AE85,Chevrolet,Autos_and_Vehicles,0.49546233,Toyota,Chevrolet
Kingdom of Italy,Mumbai,Law_and_Government,0.17779337,Rome,Mumbai
AppleSingle and AppleDouble formats,IBM,Computers_and_Electronics,0.052884817,Apple,IBM
Honda NSR500V,Nokia,Autos_and_Vehicles,0.083968274,Honda,Nokia
Chevrolet AK-Series,Toyota,Autos_and_Vehicles,0.45312488,Chevrolet,Toyota
BMW M1,IBM,Autos_and_Vehicles,0.28230032,BMW,IBM
Federal Heritage Buildings ID (Canada),Lithuania,Law_and_Government,0.023439402,Canada,Lithuania
Middle Persian,Norway,People_and_Society,0.27725482,Iran,Norway
Microsoft Office 2010,Boeing,Computers_and_Electronics,0.12519449,Microsoft,Boeing
BMW N55,Cadillac,Autos_and_Vehicles,0.41225407,BMW,Cadillac
Renault Dauphine,Nissan,Autos_and_Vehicles,0.28365338,Renault,Nissan
Animal Crossing,Google,Games,0.19114381,Nintendo,Google
Nissan Skyline GT-R,BMW,Autos_and_Vehicles,0.33028328,Nissan,BMW
BMW M3 DTM,Toyota,Autos_and_Vehicles,0.33784905,BMW,Toyota
Association of Chartered Certified Accountants,Ankara,Business_and_Industrial,0.03705086,London,Ankara
Honda CB650SC,Apple,Autos_and_Vehicles,0.066786095,Honda,Apple
Nissan Almera Tino,Dodge,Autos_and_Vehicles,0.34856147,Nissan,Dodge
Korea National Sport University,Montreal,Sports,0.1280711,Seoul,Montreal
Nissan Be-1,BMW,Autos_and_Vehicles,0.4006383,Nissan,BMW
Giorgio de Chirico,Scotland,Arts_and_Entertainment,0.09789717,Rome,Scotland
Renault 8,Fiat,Autos_and_Vehicles,0.49038434,Renault,Fiat
IBM System/3,Chrysler,Computers_and_Electronics,0.25226822,IBM,Chrysler
Microsoft Office 2010,IBM,Computers_and_Electronics,0.2748527,Microsoft,Microsoft
Mahasweta Devi,Germany,People_and_Society,0.10742504,India,Germany
Cadillac DTS,BMW,Autos_and_Vehicles,0.29592764,Cadillac,BMW
Honda Mobilio Spike,Fiat,Autos_and_Vehicles,0.2592458,Honda,Fiat
The Legend of Bhagat Singh.,Germany,News,0.17459506,India,Germany
American University in Cairo Department of Economics,Chicago,Jobs_and_Education,0.2631474,Cairo,Chicago
Porsche 997,Fiat,Autos_and_Vehicles,0.47943127,Porsche,Fiat
Windows 9x,Adobe,Computers_and_Electronics,0.23525922,Microsoft,Adobe
IBM Works,Microsoft,Computers_and_Electronics,0.4730816,IBM,IBM
Fiat Croma,Jeep,Autos_and_Vehicles,0.3979963,Fiat,Jeep
Nissan Skyline GT-R,Fiat,Autos_and_Vehicles,0.30354285,Nissan,Fiat
Bruce Springsteen,violin,Arts_and_Entertainment,0.19789216,guitar,violin
Fiat Croma,Ferrari,Autos_and_Vehicles,0.48466033,Fiat,Ferrari
Windows 9x,Google,Computers_and_Electronics,0.11197126,Microsoft,Microsoft
Ferrari 250 GTO,Chevrolet,Autos_and_Vehicles,0.43789983,Ferrari,Chevrolet
Windows Media Center,Adobe,Computers_and_Electronics,0.27947983,Microsoft,Microsoft
Honda NSX (second generation),Toyota,Autos_and_Vehicles,0.37039542,Honda,Toyota
Studs Terkel,Kyoto,Sensitive_Subjects,0.107571065,Chicago,Kyoto
Shigeru Miyamoto,Canada,Arts_and_Entertainment,0.09304411,Japan,Canada
Microsoft Surface,Google,Computers_and_Electronics,0.22227281,Microsoft,Google
IBM 704,Nissan,Computers_and_Electronics,0.21187675,IBM,Nissan
Game Boy Advance,Microsoft,Games,0.27718037,Nintendo,Microsoft
"Camille d'Hostun, duc de Tallard",Beirut,Sensitive_Subjects,0.14865027,Paris,Beirut
Windows 2.0.,IBM,Computers_and_Electronics,0.22172056,Microsoft,Microsoft
Lempäälä,Spanish,Jobs_and_Education,0.31563962,Finnish,Swedish
Renault,Suzuki,Autos_and_Vehicles,0.5440606,Renault,Suzuki
BMW M30,Iran,Autos_and_Vehicles,0.14125994,BMW,Iran
Maloye Baydavletovo,French,Jobs_and_Education,0.22147998,Russian,French
Nissan GTP ZX-Turbo,BMW,Autos_and_Vehicles,0.32507825,Nissan,BMW
Microsoft HoloLens,Bentley,Computers_and_Electronics,0.19183826,Microsoft,Bentley
Fiat 24-32 HP,Triumph,Autos_and_Vehicles,0.22539511,Fiat,Triumph
Kyoto National Museum,Toronto,People_and_Society,0.19760993,Kyoto,Toronto
Children's Aid Society of Hamilton,London,People_and_Society,0.17252976,Hamilton,London
Ashfaq Ahmad,Lebanon,Law_and_Government,0.35874844,Pakistan,Lebanon
Google Workspace,Adobe,Computers_and_Electronics,0.16692017,Google,Adobe
Renault Twingo,Porsche,Autos_and_Vehicles,0.38069803,Renault,Porsche
New Super Mario Bros.,Google,Games,0.07734916,Nintendo,Google
Nokia Lumia 720,Apple,Internet_and_Telecom,0.26662156,Nokia,Apple
Microsoft Band 2,Nissan,Computers_and_Electronics,0.16332164,Microsoft,Nissan
Final Fantasy XI,Atari,Games,0.26626855,Square,Atari
Mahasweta Devi,Venezuela,People_and_Society,0.22013003,India,Venezuela
Microsoft Surface,Intel,Computers_and_Electronics,0.31892806,Microsoft,Intel
Heritage Lighthouse of Canada ID,Ghana,Travel_and_Transportation,0.09027168,Canada,Ghana
Honda CB650SC,Renault,Autos_and_Vehicles,0.3156991,Honda,Renault
Google Drive,Adobe,Internet_and_Telecom,0.2403679,Google,Adobe
IBM Rational Purify,Microsoft,Computers_and_Electronics,0.1737843,IBM,Microsoft
Porsche 911,Honda,Autos_and_Vehicles,0.48470086,Porsche,Honda
Sarvepalli Radhakrishnan,Canada,People_and_Society,0.08773228,India,Canada
Hisashi Inoue,Belgium,Law_and_Government,0.05229073,Japan,Belgium
Zakir Hussain,Kazakhstan,People_and_Society,0.35446566,India,Kazakhstan
Nissan Livina,Toyota,Autos_and_Vehicles,0.5028262,Nissan,Toyota
NBC Nightly News,CNN,News,0.4900077,NBC,CNN
NBC Nightly News,MTV,News,0.31869924,NBC,MTV
Chrysler Phaeton,Toyota,Autos_and_Vehicles,0.44699612,Chrysler,Toyota
Ferrari 348,Boeing,Autos_and_Vehicles,0.31947047,Ferrari,Boeing
University of Tehran,Detroit,Jobs_and_Education,0.10232768,Tehran,Detroit
Super Mario Bros.,Australia,Games,0.17974302,Japan,Australia
Microsoft Surface,Amazon,Computers_and_Electronics,0.2050842,Microsoft,Amazon
BMW M60,Volvo,Autos_and_Vehicles,0.4501902,BMW,Volvo
Nissan Titan,Nokia,Autos_and_Vehicles,0.17383733,Nissan,Nokia
François Mitterrand,Frankfurt,News,0.27955332,Paris,Frankfurt
Skype for Business,Toyota,Internet_and_Telecom,0.112603135,Microsoft,Toyota
Honda Passport,Airbus,Autos_and_Vehicles,0.19213241,Honda,Airbus
Mitsubishi Pencil,Shanghai,Hobbies_and_Leisure,0.17230344,Tokyo,Shanghai
IBM Rational ClearQuest,Apple,Computers_and_Electronics,0.08163996,IBM,Apple
Super Nintendo Entertainment System,Fiat,Computers_and_Electronics,0.17943898,Nintendo,Fiat
Honda Aviator,Dodge,Autos_and_Vehicles,0.3510424,Honda,Dodge
IBM Rational AppScan,Square,Computers_and_Electronics,0.11853261,IBM,Square
Military Ordinariate of Hungary,Honolulu,Law_and_Government,0.13309747,Budapest,Honolulu
Volvo V40,Nokia,Autos_and_Vehicles,0.20197824,Volvo,Nokia
BMW M6,Toyota,Autos_and_Vehicles,0.41872346,BMW,Toyota
The Sopranos,History,Arts_and_Entertainment,0.2697752,HBO,History
Windows Me,Amazon,Computers_and_Electronics,0.28890032,Microsoft,Amazon
Nokia X2-01,Fiat,Computers_and_Electronics,0.18807456,Nokia,Fiat
Porsche 904,Nissan,Autos_and_Vehicles,0.53845024,Porsche,Nissan
Outlook.com,Hamburg,Internet_and_Telecom,0.04595197,Microsoft,Google
Sony NEX-7,Fiat,Computers_and_Electronics,0.25125778,Sony,Fiat
Nissan Be-1,Douglas,Autos_and_Vehicles,0.114824966,Nissan,Douglas
Fiat 510,Apple,Autos_and_Vehicles,0.2461432,Fiat,Apple
Henry Louis Le Châtelier,Pittsburgh,News,0.13813068,Paris,Pittsburgh
Fiat Panorama,Sony,Autos_and_Vehicles,0.38092116,Fiat,Sony
Porsche 911 GT1,Renault,Autos_and_Vehicles,0.40411574,Porsche,Renault
Nissan Titan,Dodge,Autos_and_Vehicles,0.32594758,Nissan,Dodge
Chittoor district,France,Jobs_and_Education,0.24547076,India,France
Lata Mangeshkar,Brazil,Arts_and_Entertainment,0.12379507,India,Brazil
Sarvepalli Radhakrishnan,Luxembourg,People_and_Society,0.23532565,India,Luxembourg
Bös Fulen,Antarctica,Law_and_Government,0.11650576,Europe,Antarctica
British Empire,Paris,Law_and_Government,0.29417726,London,Paris
Stagecoach in Cambridge,Lyon,Travel_and_Transportation,0.1773642,Cambridge,Lyon
Apple iAd Producer,Microsoft,Computers_and_Electronics,0.29764664,Apple,Microsoft
Bolesław II the Generous,Japan,Law_and_Government,0.064964026,Poland,Japan
Renault 14,Nokia,Autos_and_Vehicles,0.29209322,Renault,Nokia
Chevrolet Volt,Nissan,Autos_and_Vehicles,0.4118495,Chevrolet,Nissan
Ferrari 195 S,Suzuki,Autos_and_Vehicles,0.43174005,Ferrari,Suzuki
Ferrari F2012,Mercury,Autos_and_Vehicles,0.32000637,Ferrari,Mercury
Nissan Xterra,BMW,Autos_and_Vehicles,0.43190145,Nissan,BMW
Nissan R391,Microsoft,Autos_and_Vehicles,0.17821711,Nissan,Microsoft
Tokyo Story,Sweden,News,0.16112399,Japan,Sweden
Google Maps,Apple,Internet_and_Telecom,0.19683975,Google,Google
Nintendo DS,Nissan,Computers_and_Electronics,0.21805246,Nintendo,Nissan
Algeria,Asia,People_and_Society,0.4648987,Africa,Africa
Jamaica,Georgetown,People_and_Society,0.4362471,Kingston,Georgetown
Dortmund,Greece,Business_and_Industrial,0.44211534,Germany,Greece
New Super Mario Bros.,Sega,Games,0.50507486,Nintendo,Sega
iPhone XS Max,Cadillac,Computers_and_Electronics,0.209694,Apple,Cadillac
European Union,Icelandic,Law_and_Government,0.38410157,English,Icelandic
Iwate Prefecture,Philippines,Business_and_Industrial,0.23294991,Japan,Philippines
Microsoft Silverlight,Adobe,Computers_and_Electronics,0.3921622,Microsoft,Adobe
Eiichiro Oda,Spain,Arts_and_Entertainment,0.2086601,Japan,Spain
Toyota AE85,Honda,Autos_and_Vehicles,0.45164287,Toyota,Honda
Porsche 959,Toyota,Autos_and_Vehicles,0.4843562,Porsche,Toyota
Windows 3.1,IBM,Computers_and_Electronics,0.15076414,Microsoft,IBM
BMW M1,Nissan,Autos_and_Vehicles,0.51918054,BMW,Nissan
Adobe AIR,Apple,Computers_and_Electronics,0.33343294,Adobe,Apple
Piotr Fronczewski,Spain,Law_and_Government,0.21358865,Poland,Spain
Toyota Camry XV30,Porsche,Autos_and_Vehicles,0.4126799,Toyota,Porsche
Roman Catholic Diocese of Santa Rosa,Colorado,People_and_Society,0.22939642,California,Colorado
BMW N57,Porsche,Autos_and_Vehicles,0.51903135,BMW,Porsche
Airbus A330,Apple,Autos_and_Vehicles,0.27993992,Airbus,Apple
Neon Genesis Evangelion,Portugal,Arts_and_Entertainment,0.10282084,Japan,Portugal
Porsche 944,Toyota,Autos_and_Vehicles,0.49378848,Porsche,Toyota
Georges Braque,Dresden,Arts_and_Entertainment,0.20417699,Rome,Dresden
Windows 3.1,IBM,Computers_and_Electronics,0.15076414,Microsoft,Microsoft
Shigeru Miyamoto,Poland,Arts_and_Entertainment,0.2709381,Japan,Poland
BMW M3,Fiat,Autos_and_Vehicles,0.41416055,BMW,Fiat
Innocent VIII,Oslo,News,0.057392806,Rome,Oslo
North Rhine-Westphalia,India,Business_and_Industrial,0.25674626,Germany,India
Dublin,Iran,Business_and_Industrial,0.31622493,Ireland,Iran
Archduke Franz Ferdinand,London,News,0.17878306,Vienna,London
Antarctic Treaty System,Africa,Law_and_Government,0.19743425,Antarctica,Africa
Ascoli Piceno,India,Business_and_Industrial,0.11810358,Italy,India
Wii U,Dodge,Computers_and_Electronics,0.1943376,Nintendo,Dodge
Adobe Premiere Pro,Microsoft,Computers_and_Electronics,0.3153306,Adobe,Microsoft
Nissan Cima,Chrysler,Autos_and_Vehicles,0.4980172,Nissan,Chrysler
BMW N47,Suzuki,Autos_and_Vehicles,0.44300526,BMW,Suzuki
Sardinia,Finnish,Jobs_and_Education,0.32678598,Italian,Finnish
iPhone SE (2nd generation),Dodge,Computers_and_Electronics,0.053258125,Apple,Dodge
Honda CB650SC,Renault,Autos_and_Vehicles,0.3156991,Honda,Renault
President of Syria,Canada,Law_and_Government,0.14810435,Syria,Canada
Fiat 500 Moretti Coupé,BMW,Autos_and_Vehicles,0.45620883,Fiat,BMW
Larry Page,Apple,News,0.1666103,Google,Apple
Boeing B-52 Stratofortress,Bentley,Business_and_Industrial,0.12168977,Boeing,Bentley
Zakir Hussain,Canada,People_and_Society,0.16135472,India,Canada
Nokia N950,Renault,Computers_and_Electronics,0.23298302,Nokia,Renault
Toyota Camry XV20,Honda,Autos_and_Vehicles,0.41271996,Toyota,Honda
PlayStation 2,Atari,Computers_and_Electronics,0.42234725,Sony,Atari
The Wire,NBC,Arts_and_Entertainment,0.30475646,HBO,NBC
Porsche 914,Dodge,Autos_and_Vehicles,0.36994955,Porsche,Dodge
Sony Entertainment Network,Adobe,Computers_and_Electronics,0.27604732,Sony,Adobe
Chevrolet AK-Series,Ferrari,Autos_and_Vehicles,0.23911913,Chevrolet,Ferrari
Seattle City Light,Singapore,Travel_and_Transportation,0.25895518,Seattle,Singapore
iPhone SE (2nd generation),Nintendo,Computers_and_Electronics,0.23365359,Apple,Nintendo
Le Monde,Denmark,News,0.28126192,France,Denmark
"Clementine Churchill, Baroness Spencer-Churchill",Brisbane,News,0.13743518,London,Brisbane
Adobe Flash Player,Nintendo,Computers_and_Electronics,0.37335634,Adobe,Nintendo
Hamid Karzai,Catholicism,News,0.09092745,Islam,Islam
Mecklenburg-Western Pomerania,Spain,Jobs_and_Education,0.33811033,Germany,Spain
Yuldybayevo,Vietnamese,Law_and_Government,0.22841793,Russian,Chinese
Google Maps,Apple,Internet_and_Telecom,0.19683975,Google,Apple
iPhone,Nokia,Internet_and_Telecom,0.6211699,Apple,Nokia
Toyota AR engine,Douglas,Autos_and_Vehicles,0.16566893,Toyota,Douglas
Brazilian Olympic Committee athlete ID,Austria,Sports,0.20447676,Brazil,Austria
Renault 4,Nokia,Autos_and_Vehicles,0.29738605,Renault,Nokia
German Journal of Research in Human Resource Management,Finnish,Business_and_Industrial,0.138914,German,Finnish
Honda Activa,BMW,Autos_and_Vehicles,0.39067096,Honda,BMW
National Gallery of Ireland ID,Lithuania,Arts_and_Entertainment,0.14733398,Ireland,Lithuania
Nissan 1400,Microsoft,Autos_and_Vehicles,0.20712599,Nissan,Microsoft
BMW IIIa,Nintendo,Autos_and_Vehicles,0.12011388,BMW,Nintendo
Nissan Primera P12,Fiat,Autos_and_Vehicles,0.36884525,Nissan,Fiat
BMW N52,Sony,Autos_and_Vehicles,0.2921962,BMW,Sony
Renault Mégane,Triumph,Autos_and_Vehicles,0.23618668,Renault,Triumph
Princess Stéphanie of Belgium,Japan,Law_and_Government,0.24617998,Belgium,Japan
Nokia 6760 Slide,Toyota,Computers_and_Electronics,0.06286666,Nokia,Toyota
James Clerk Maxwell,theology,Books_and_Literature,0.14791818,mathematics,theology
Windows Me.,Amazon,Computers_and_Electronics,0.26306105,Microsoft,Amazon
iPhone XS Max,Samsung,Computers_and_Electronics,0.28476888,Apple,Samsung
Persian Film,English,Arts_and_Entertainment,0.26880783,Persian,English
Ferrari F2003-GA,BMW,Autos_and_Vehicles,0.51162446,Ferrari,BMW
Zakir Hussain,Venezuela,People_and_Society,0.20885888,India,Venezuela
Game Boy Color,Cadillac,Games,0.1650557,Nintendo,Cadillac
Intel 80186,Fiat,Computers_and_Electronics,0.12662533,Intel,Fiat
El País,Welsh,Books_and_Literature,0.20082495,Spanish,English
Ferrari 360,BMW,Autos_and_Vehicles,0.5601629,Ferrari,BMW
Ralph Metcalfe,Damascus,Sensitive_Subjects,0.0796328,Chicago,Damascus
Nissan Almera Tino,Suzuki,Autos_and_Vehicles,0.3472044,Nissan,Suzuki
Nokia Asha platform,Atari,Computers_and_Electronics,0.20568639,Nokia,Atari
Microsoft Surface,Intel,Computers_and_Electronics,0.31892806,Microsoft,Intel
Brussels Capital Region,India,Business_and_Industrial,0.24279122,Belgium,India
Nokia N80,Samsung,Computers_and_Electronics,0.48393303,Nokia,Samsung
Microsoft,Google,Computers_and_Electronics,0.38166553,Microsoft,Google
IBM Rational AppScan,Google,Computers_and_Electronics,0.15607445,IBM,Google
Jana Aranya,Australia,Business_and_Industrial,0.20694235,India,Australia
Toyota Camry TS-01,Honda,Autos_and_Vehicles,0.43196228,Toyota,Honda
Nissan NPT-90,Honda,Autos_and_Vehicles,0.38205108,Nissan,Honda
Volvo 140 Series,Toyota,Autos_and_Vehicles,0.4423737,Volvo,Toyota
Bruce Springsteen,piano,Arts_and_Entertainment,0.27450457,guitar,piano
Aleksandr Solzhenitsyn,Hungary,Arts_and_Entertainment,0.265004,Russia,Hungary
Ferrari 195 S,Triumph,Autos_and_Vehicles,0.31596187,Ferrari,Triumph
Weinsberg,Ireland,Internet_and_Telecom,0.1722657,Germany,Ireland
Iraqi Republic (1958–1968),Delhi,People_and_Society,0.11043503,Baghdad,Delhi
Fujiko F. Fujio,Taiwan,Arts_and_Entertainment,0.33588025,Japan,Taiwan
Fiat 2B,Mercury,Autos_and_Vehicles,0.3209263,Fiat,Mercury
Toyota AR engine,Volvo,Autos_and_Vehicles,0.3528077,Toyota,Volvo
IBM Home Page Reader,Intel,Computers_and_Electronics,0.15421236,IBM,Intel
Dragon Ball,France,Games,0.24698347,Japan,France
Nissan Cima,IBM,Autos_and_Vehicles,0.17100707,Nissan,IBM
Nokia N80,Porsche,Computers_and_Electronics,0.1987658,Nokia,Porsche
Adobe Illustrator,Microsoft,Computers_and_Electronics,0.38325554,Adobe,Microsoft
Nokia Lumia 520,Renault,Internet_and_Telecom,0.19804674,Nokia,Renault
Mount Fuji,Poland,Travel_and_Transportation,0.19451305,Japan,Poland
Windows 2.0,Apple,Computers_and_Electronics,0.13609542,Microsoft,Apple
Ferrari 641,Douglas,Autos_and_Vehicles,0.10804763,Ferrari,Douglas
Microsoft Silverlight,Sega,Computers_and_Electronics,0.18332535,Microsoft,Sega
Kasuga,India,Jobs_and_Education,0.36812258,Japan,India
Daisuke Matsuzaka,Cambodia,Arts_and_Entertainment,0.097709976,Japan,Cambodia
Nissan Skyline GT-R,IBM,Autos_and_Vehicles,0.21074551,Nissan,IBM
Microsoft Surface,Nintendo,Computers_and_Electronics,0.26342797,Microsoft,Nintendo
NBC Nightly News,History,News,0.20670229,NBC,History
Windows Media Center,Adobe,Computers_and_Electronics,0.27947983,Microsoft,Adobe
Renault 7,Chevrolet,Autos_and_Vehicles,0.5022925,Renault,Chevrolet
The Legend of Zelda.,Argentina,Games,0.18566412,Japan,Argentina
Fiat 500 Moretti Coupé,Mercury,Autos_and_Vehicles,0.23341967,Fiat,Mercury
Lata Mangeshkar,Iran,Arts_and_Entertainment,0.1500172,India,Iran
Game Boy Color,BMW,Games,0.10678926,Nintendo,BMW
Sony Alpha 77,Nissan,Computers_and_Electronics,0.33438554,Sony,Nissan
Nintendo DS Lite,Apple,Computers_and_Electronics,0.30704513,Nintendo,Apple
Athanasius I of Constantinople,Seattle,News,0.13791949,Constantinople,Seattle
Alexander Nevzorov,Berlin,Business_and_Industrial,0.24512401,Moscow,Berlin
Nintendo 3DS,Intel,Computers_and_Electronics,0.33985513,Nintendo,Intel
Nissan NP200,Microsoft,Autos_and_Vehicles,0.17490838,Nissan,Microsoft
Samsung Galaxy J5 2016,Toyota,Internet_and_Telecom,0.14750837,Samsung,Toyota
iPhone 7,Fiat,Computers_and_Electronics,0.23620126,Apple,Fiat
Boeing 777,Google,Business_and_Industrial,0.23228022,Boeing,Google
Mikhail Khodorkovsky,Dutch,News,0.2665196,Russian,Dutch
Fiat 16-20 HP,Cadillac,Autos_and_Vehicles,0.41278666,Fiat,Cadillac
Apple USB Mouse,Google,Computers_and_Electronics,0.13016443,Apple,Google
Ferrari 250 GTO,Nissan,Autos_and_Vehicles,0.46302772,Ferrari,Nissan
Fiat 520,Sony,Autos_and_Vehicles,0.36497474,Fiat,Sony
René Descartes,Norway,News,0.19586362,France,Norway
iPad,Samsung,Computers_and_Electronics,0.47343758,Apple,Samsung
Honda VT600C,Renault,Autos_and_Vehicles,0.28933585,Honda,Renault
Adobe InDesign,IBM,Computers_and_Electronics,0.1334042,Adobe,IBM
Giorgio de Santillana,Brooklyn,Arts_and_Entertainment,0.093783274,Rome,Brooklyn
Pułtusk,Indonesia,Internet_and_Telecom,0.18875766,Poland,Indonesia
Loyola University Maryland College of Arts and Sciences,Jerusalem,Jobs_and_Education,0.1514224,Baltimore,Jerusalem
Toyota Camry XV40,Nokia,Autos_and_Vehicles,0.062319227,Toyota,Nokia
Google Calendar,Apple,Computers_and_Electronics,0.13484493,Google,Apple
BMW M1,Ferrari,Autos_and_Vehicles,0.5131598,BMW,Ferrari
Boeing P-26 Peashooter,Adobe,Autos_and_Vehicles,-0.009475886,Boeing,Adobe
IBM Works,Microsoft,Computers_and_Electronics,0.4730816,IBM,Microsoft
Windows Media Center,Airbus,Computers_and_Electronics,0.091183014,Microsoft,Airbus
Apple iAd Producer,Yahoo,Computers_and_Electronics,0.25610566,Apple,Yahoo
Royal Astronomical Society,Ankara,Science,0.09872003,London,Ankara
Dodge Challenger R/T (LC),Nissan,Autos_and_Vehicles,0.35285658,Dodge,Nissan
Windows NT,Intel,Computers_and_Electronics,0.30248657,Microsoft,Intel
Apple iAd Producer,IBM,Computers_and_Electronics,0.31212753,Apple,IBM
Nintendo GameCube,Sega,Computers_and_Electronics,0.5031352,Nintendo,Sega
Toyota Yaris,Nokia,Autos_and_Vehicles,0.26768994,Toyota,Nokia
Fiat 510,Honda,Autos_and_Vehicles,0.4655574,Fiat,Honda
Nissan R88C,Chevrolet,Autos_and_Vehicles,0.53364116,Nissan,Chevrolet
Nissan NP200,Jeep,Autos_and_Vehicles,0.38691917,Nissan,Jeep
Windows 3.0,Nintendo,Computers_and_Electronics,0.100377366,Microsoft,Nintendo
Nokia 2600 classic,Triumph,Computers_and_Electronics,0.18504104,Nokia,Triumph
Game Boy Advance,IBM,Games,0.17224649,Nintendo,Nintendo
Nokia Asha 206,Porsche,Computers_and_Electronics,0.23368463,Nokia,Porsche
Nissan Be-1,Apple,Autos_and_Vehicles,0.20258611,Nissan,Apple
BMW IIIa,Dodge,Autos_and_Vehicles,0.32894188,BMW,Dodge
Roman Catholic Archdiocese of Caracas,Canada,People_and_Society,0.09768562,Venezuela,Canada
Surface Book,Nissan,Computers_and_Electronics,0.14410776,Microsoft,Nissan
ASP.NET MVC Framework,Sega,Computers_and_Electronics,-0.14028695,Microsoft,Sega
Nissan NX,BMW,Autos_and_Vehicles,0.47893983,Nissan,BMW
Volvo 480,Nissan,Autos_and_Vehicles,0.44164294,Volvo,Nissan
Adobe Illustrator,Apple,Computers_and_Electronics,0.24129072,Adobe,Adobe
Anna Politkovskaya,Swedish,Arts_and_Entertainment,0.30073372,Russian,Swedish
Apple Thunderbolt Display,Nintendo,Computers_and_Electronics,0.16227141,Apple,Nintendo
Renault Dauphine,Yamaha,Autos_and_Vehicles,0.44316825,Renault,Yamaha
Lata Mangeshkar,Estonia,Arts_and_Entertainment,0.25511998,India,Estonia
Nokia 6130,Renault,Computers_and_Electronics,0.23778081,Nokia,Renault
Chittoor district,Malaysia,Jobs_and_Education,0.22959438,India,Malaysia
Nissan R391,IBM,Autos_and_Vehicles,0.25895655,Nissan,IBM
Kosovo,Russian,Jobs_and_Education,0.38927376,Serbian,Serbian
Ethiopia,Europe,People_and_Society,0.40329933,Africa,Europe
Zeitschrift fuer Geschichtswissenschaft,Spanish,People_and_Society,0.099664226,German,Spanish
Nissan Primera P12,Microsoft,Autos_and_Vehicles,0.13353328,Nissan,Microsoft
Turkish Republic of Northern Cyprus,Chinese,Law_and_Government,0.14987971,Turkish,Chinese
Nokia 6130,BMW,Computers_and_Electronics,0.2167802,Nokia,Nokia
Toyota Corolla Spacio,Microsoft,Autos_and_Vehicles,0.11053554,Toyota,Microsoft
Renault Dauphine,Fiat,Autos_and_Vehicles,0.40139306,Renault,Fiat
Nitobe Inazō,Switzerland,Law_and_Government,0.17818403,Japan,Switzerland
Toyota Sprinter,Iran,Autos_and_Vehicles,0.24313357,Toyota,Iran
Triumph TR5,Suzuki,Autos_and_Vehicles,0.4751544,Triumph,Suzuki
Georges Braque,Chicago,Arts_and_Entertainment,0.2061477,Rome,Chicago
BMW N57,Nissan,Autos_and_Vehicles,0.49888602,BMW,Nissan
Anatoly Karpov,Georgian,News,0.2646691,Russian,Georgian
Windows 2.0,Apple,Computers_and_Electronics,0.13609542,Microsoft,Apple
Fiat 510,Chevrolet,Autos_and_Vehicles,0.51622593,Fiat,Chevrolet
Toyota Camry TS-01,Chevrolet,Autos_and_Vehicles,0.5123743,Toyota,Chevrolet
Nintendo GameCube,IBM,Computers_and_Electronics,0.15233612,Nintendo,IBM
Royal Astronomical Society,Boulder,Science,0.13558894,London,Boulder
